Product_name,Brand,Rating,No_Rating,key_benefits_list
Bjain Omeo Ear Drop,Bjain Pharmaceuticals Pvt Ltd,4.6,167 Ratings,"['Calendula officinalis 0.30ml', 'Verbascum thapsus 0.10ml', 'Mezereum 0.02ml', 'Resorcinum 1X 36.0mg', 'Acidum boracicum 1X 10.0mg', 'It acts as an antiseptic or disinfectant for ears', 'It is beneficial to minimise earache', 'It contains verbascum thapsus, which is beneficial for relieving earache at once', 'It also contains resorcinum that may be used as an antiseptic disinfectant', 'Store in a cool and dry place away from direct sunlight', 'Read the label carefully', 'Keep out of reach of children']"
SBL Jaborandi Hair Oil,SBL Pvt Ltd,4.3,243 Ratings,"['Extract of Jaborandi herb', 'Nourishes hair roots', 'Strengthens hair and prevents hair fall', 'Protects hair from damage leaving the hair clean, smooth, silky, manageable and healthy', 'Rejuvenates scalp and stimulates hair follicles', 'Controls dandruff and promote hair growth', 'Strengthen and replenish hair lost lustre and vitality, bring shine', 'Increases hair density, add bounce and volume to hair', 'Nourishes hair by toning up the circulation of scalp', 'Prevents premature greying of hair', 'Treats itching of the scalp (scratching sensation) and eczema of head, psoriasis or dandruff', 'Take about 4-5 ml of Oil in the palm', 'Run your finger tips through the hair ensuring it touches the hair roots and rub gently', 'Apply the oil at night before bed and wash plus rinse it the next day morning', 'Read the label carefully before use', 'Do not exceed the recommended dose', 'Keep out of the reach of children']"
SBL Cineraria Maritima 10% Eye Drop,SBL Pvt Ltd,4.5,228 Ratings,"['Cineraria maritima', 'Glycerinum', 'Phenyl Mercuric Nitrate', 'Aqua Distilled', 'The drops can be beneficial for the first signs of cataract', 'It may alleviate clouding of vision and double vision', 'It might improve poor night vision and fading of the colour', 'It can improve vision when there is a halo around lights', 'Do not exceed the recommended dosage', 'Read the label carefully before use', 'Store in a cool dry place away from direct sunlight', 'Keep out of reach of children']"
ADEL Diacard Gold Madaus Drop Homeopathic Medicine,Adel Pekana Germany,4.6,315 Ratings,"['Cactus grandiflorus.2X, Crataegus, Strophantus 4X, Camphora 2X, Aether, Sulfuricus. 1X, Aurum. Mur. Natr. 4X, Valeriana, Alcohol', 'Provides relief from heart complaints in older adults', 'Relieves heart palpitation and irregular heartbeat', 'Can help with circulatory instability during menopause', 'Helps relieve fatigue, lightheadedness and tiredness', 'Do not exceed the recommended dosage', 'Read the label carefully before use', 'Store in a cool, dry place away from direct sunlight', 'Keep out of reach of children']"
Dr Batra's Homeo+ Immunity Medicine Oral Drops (30ml Each),Dr Batra Positive Health Products Limited,4.6,315 Ratings,"['Echinacea', 'Aconitum Nappelus', 'Sambucus Nigra', 'Baptisia Tinctoria', 'Thuja', 'Echinacea helps to increase white blood cells, which help in fighting infections and builds the immune system', 'Help fight bacterial and viral infections', 'Aconitum Nappelus helps those who become ill after a cold and cough', 'Helps to improve immunity and acts as an anti-septic', 'Thuja acts on the lymphatic\xa0 system and swollen glands', 'It is safe, scientific and long-lasting', 'Read the label carefully before use', 'Keep out of reach of the children', 'Store in a cool dry place']"
Bjain Guatteria Gaumeri Drop,Bjain Pharmaceuticals Pvt Ltd,4.6,213 Ratings,"['Guatteria Gaumeri', 'It helps reduce bad cholesterol in the body', 'Reduces lipid and fat content in the blood', 'Beneficial for dealing with anorexia and abdominal distention', '10-15 drops in 1/4th cup of water, three times a day or as directed by a healthcare practitioner', 'To be taken 10 minutes before or after meals', 'Do not exceed the recommended dosage', 'Read the label carefully before use', 'Store in a cool, dry place away from direct sunlight', 'Keep out of reach of children', 'Hyperlipidemia indicates too many lipids or fats in your blood, such as cholesterol and triglycerides', 'Hypercholesterolemia indicates too much non-HDL and LDL (bad) cholesterol in your blood']"
SBL Sarracenia Purpurea Dilution 1000 CH,SBL Pvt Ltd,4.8,24 Ratings,"['It helps relieve throbbing headaches and pain throughout the body', 'Alleviates pain in the eyes, swelling, and soreness', 'Aids in reducing pain associated with rheumatism and arthritis', 'Improves the condition of skin eruptions', 'Read the label carefully before use', 'Do not exceed the recommended dose', 'Keep out of the reach of children', 'Store in a cool and dry place, away from direct sunlight and heat', 'Avoid any strong smell in the mouth, such as coffee, onion, hing, mint, camphor, garlic etc., while taking the medicine', 'Keep at least half an hour gap between food/drink/ any other medicines and allopathic medicine']"
Dr. Reckeweg Calcarea Phosphorica Biochemic Tablet 6X,Dr Reckeweg & Co,4.7,800 Ratings,"['Calcarea Phosphorica', 'Patients who have a vulnerability to glandular and bone diseases, in teenagers who have less height, problems that arise due to inappropriate intake of calcium, milk or diet can be benefited after taking calcarea phosphorica', 'Benefits children with the slow development of teeth, having a tendency to form curves of the bones, spinal curvature where development of spine is slow and the child needs support while sitting', 'Used to prevent teething problems in infants', 'Helps to prevent difficulties related to teething like diarrhoea, loss of appetite, low-grade fever, irritability and biting', 'Helps in recovery from fracture, anaemia, and calcium-related deficiencies', 'Put tablets into the mouth and allow them to dissolve under the tongue', 'Adults and adolescents (12 years and older) 2 to 4 tablets, four times daily, or as recommended by your healthcare practitioner', 'Children (under 12 years) 2 tablets twice a day', 'Do not exceed the recommended dosage', 'Read the label carefully before use', 'Store in a cool, dry place away from direct sunlight', 'Keep out of reach of children', 'Avoid any strong smell in the mouth such as coffee, onion, hing, mint, camphor, garlic etc. while taking the medicine', 'Keep at least half an hour gap between food/drink/ any other medicines and allopathic medicine']"
Dynamic Homeopathy Dynamic 48 Dibodyn Dilution,Dynamic Agencies,4.7,800 Ratings,"['Syzygium Jambolanum', 'Acidum Phosphoricum', 'Cephalandra Indica', 'Abroma Augusta', 'Helonias Dioica', 'Gymnema Sylvestre', 'Black plum helps manage the symptoms of diabetes, like thirst, weakness, and excessive urination', 'Acidum Phosphoricum effectively deals with the physical and mental weakness, and exhaustion caused due to loss of vital fluids', 'It helps regulate blood glucose, high cholesterol, body weight, and beta-cells of pancreatic islets of Langerhans', 'It eliminates toxins and relieves kidney ailments as well', 'Abroma helps relieve abdominal cramps and pain in the pelvic region', 'Take 20 drops in the morning and 20 drops in the evening in ½ glass of water half an hour before meals or as advised by your physician', 'Read the product label carefully before use', 'Store in a cool and dry place away from direct sunlight', 'Keep out of reach of children', 'Consult a doctor before taking any supplement', 'Do not exceed the recommended dosage', 'Pregnant or nursing mothers, children, and people with medical conditions must consult a physician before taking this supplement']"
Dr. Reckeweg R41 Sexual Neurasthenia Drop,Dr Reckeweg & Co,4.1,978 Ratings,"['Acidum phosphoricum, Agnus castus, China, Conium, Damiana, Phosphorus, Sepia', 'Agnus castus helps relieve physical exhaustion and weakness', 'Conium can help ease irritation and improve lack of concentration', 'Damiana helps strengthen the genital area', 'Phosphorus helps improve lack of power and performance', 'Sepia can help enhance cellular function and eliminate fatigue and aversion', '15 drops in a little water before meals,2-3 times daily', 'For rapid results, 10-15 drops every 1-2 hours for 2-3 days', 'Do not exceed the recommended dosage', 'Read the label carefully before use', 'Store in a cool, dry place away from direct sunlight', 'Keep out of reach of children']"
Dr. Reckeweg R89 Hair Care Drop,Dr Reckeweg & Co,4.3,1115 Ratings,"['Hypophysis, Juglans, Kalium phosphoricum, Polysorbatum, Testes', 'It helps enhance hair growth and strength', 'Purifies the blood and has anti-hormonal effects', 'Helps restore hair health and volume', 'Prevents balding and premature hair loss', 'Do not exceed the recommended dosage', 'Read the label carefully before use', 'Store in a cool, dry place away from direct sunlight', 'Keep out of reach of children']"
Bakson's Y-Lax Tablet,Bakson's Homeopathy,4.5,587 Ratings,"['Senna', 'Sulphur', 'Y Lax tablets have strong laxative action that alleviates hard stools, relieves constipation, and tone up the intestines', 'It regulates bowel movements and helps ease strain during defecation', 'Y Lax tablets provide relief from itching', 'Reduces abdominal pain and flatulence', 'These homoeopathic tablets for constipation are useful for constipated bowels, muscular weakness with colic flatulence', 'Read the label carefully before use', 'Do not exceed the recommended dose', 'Keep out of the reach of children', 'Store in a cool and dry place, away from direct sunlight and heat', 'Avoid any strong smell in the mouth, such as coffee, onion, hing, mint, camphor, garlic etc., while taking the medicine', 'Keep at least half an hour gap between food/drink/ any other medicines and allopathic medicine']"
Bjain Guatteria Gaumeri Drop,Bjain Pharmaceuticals Pvt Ltd,4.6,213 Ratings,"['Guatteria Gaumeri', 'It helps reduce bad cholesterol in the body', 'Reduces lipid and fat content in the blood', 'Beneficial for dealing with anorexia and abdominal distention', '10-15 drops in 1/4th cup of water, three times a day or as directed by a healthcare practitioner', 'To be taken 10 minutes before or after meals', 'Do not exceed the recommended dosage', 'Read the label carefully before use', 'Store in a cool, dry place away from direct sunlight', 'Keep out of reach of children', 'Hyperlipidemia indicates too many lipids or fats in your blood, such as cholesterol and triglycerides', 'Hypercholesterolemia indicates too much non-HDL and LDL (bad) cholesterol in your blood']"
Dr Willmar Schwabe India Thyroidinum Trituration Tablet 3X,Dr Willmar Schwabe India Pvt Ltd,4.5,276 Ratings,"['Thyroidinum 3X', 'It helps regulate the hormones and revitalises the body', 'Helps decrease muscle weakness and fatigue', 'Useful for thyroid disorders involving the eyes like exophthalmia', 'Improves mood and keeps the digestive system healthy', 'Do not exceed the recommended dosage', 'Read the label carefully before use', 'Store in a cool, dry place away from direct sunlight', 'Keep out of reach of children']"
SBL Stobal Cough Syrup,SBL Pvt Ltd,4.6,1164 Ratings,"['It is a highly efficacious remedy for acute catarrhal conditions of the respiratory tract', 'It acts on dry coughs aggravated by inspiring cold air, which causes stringy and tough expectoration', 'It reduces spasmodic irritation of the chest', 'It is a homeopathy cough medicine in dry and wet cough, removes phlegm and relieves difficulty in swallowing', 'Adults: One tablespoon of SBL Stodal Cough Syrup 3-5 times a day', 'Children: One tablespoon 3-5 times a day or as directed by the physician', 'Do not exceed the recommended dosage', 'Read the label carefully before use', 'Store in a cool, dry place away from direct sunlight', 'Keep out of reach of children', 'Avoid any strong smell in the mouth, such as coffee, onion, hing, mint, camphor, garlic etc., while taking medicine', 'Keep at least half an hour gap between food/drink/ any other medicines and allopathic medicine']"
Dr. Reckeweg Berberis Vul Mother Tincture Q,Dr Reckeweg & Co,4.5,623 Ratings,"['Berberis Vulgaris', 'It provides relief from painful and bloody urination', 'Helps reduce pain in the legs and back', 'Relieves inflammation and discomfort in the abdomen', 'Helps deal with uterine and vaginal disorders', 'Do not exceed the recommended dosage', 'Read the label carefully before use', 'Store in a cool, dry place away from direct sunlight', 'Keep out of reach of children']"
Dr Batra's Homeo+ Immunity Medicine Oral Drops (30ml Each),Dr Batra Positive Health Products Limited,4.5,623 Ratings,"['Echinacea', 'Aconitum Nappelus', 'Sambucus Nigra', 'Baptisia Tinctoria', 'Thuja', 'Echinacea helps to increase white blood cells, which help in fighting infections and builds the immune system', 'Help fight bacterial and viral infections', 'Aconitum Nappelus helps those who become ill after a cold and cough', 'Helps to improve immunity and acts as an anti-septic', 'Thuja acts on the lymphatic\xa0 system and swollen glands', 'It is safe, scientific and long-lasting', 'Read the label carefully before use', 'Keep out of reach of the children', 'Store in a cool dry place']"
Dr. Reckeweg R73 Joint Pain Drop,Dr Reckeweg & Co,4.5,565 Ratings,"['Acidum sulfuricum, Argentum, Arnica, Bryonia, Causticum Hahnemann, Ledum', 'Helps alleviate painful joints and degeneration of the joints', 'Relieves swollen, stiff joints and enhances mobility and comfort', 'Helps with joint deformity caused by paralytic weakness and stiffness', 'Relieves cramping and immobility of the hip area', 'Do not exceed the recommended dosage', 'Read the label carefully before use', 'Store in a cool, dry place away from direct sunlight', 'Keep out of reach of children']"
Bakson's Y-Lax Tablet,Bakson's Homeopathy,4.5,587 Ratings,"['Senna', 'Sulphur', 'Y Lax tablets have strong laxative action that alleviates hard stools, relieves constipation, and tone up the intestines', 'It regulates bowel movements and helps ease strain during defecation', 'Y Lax tablets provide relief from itching', 'Reduces abdominal pain and flatulence', 'These homoeopathic tablets for constipation are useful for constipated bowels, muscular weakness with colic flatulence', 'Read the label carefully before use', 'Do not exceed the recommended dose', 'Keep out of the reach of children', 'Store in a cool and dry place, away from direct sunlight and heat', 'Avoid any strong smell in the mouth, such as coffee, onion, hing, mint, camphor, garlic etc., while taking the medicine', 'Keep at least half an hour gap between food/drink/ any other medicines and allopathic medicine']"
Dr Willmar Schwabe India Damiaplant Drop,Dr Willmar Schwabe India Pvt Ltd,4,578 Ratings,"['It helps increase energy levels and elevate mood', 'Deals with nervous depression and helps enhance libido', 'It helps prevent involuntary emission during urination or defecation', 'Do not exceed the recommended dosage', 'Read the label carefully before use', 'Store in a cool, dry place away from direct sunlight', 'Keep out of reach of children']"
Dynamic Homeopathy Dynamic 28 K'DY Stone Dilution,Dynamic Agencies,4,578 Ratings,"['Berberis Vulgaris', 'Hydrangea Arborescens', 'It provides relief from renal stones', 'It helps to remove and prevent the recurring formation of kidney stones', 'Take 20 drops in the morning and 20 drops in the evening in ½ glass of water half an hour before meals or as advised by your physician', 'Read the product label carefully before use', 'Store in a cool and dry place away from direct sunlight', 'Keep out of reach of children', 'Consult a doctor before taking any supplement', 'Do not exceed the recommended dosage', 'Pregnant or nursing mothers, children, and people with medical conditions must consult a physician before taking this supplement']"
SBL Arnica Montana Hair Oil with Tjc,SBL Pvt Ltd,4.4,556 Ratings,"['Arnica montana hair oil helps in reducing dandruff and the itching due to dandruff', 'It helps strengthen the roots of the hair and thus strengthens and manages excessive hair fall', 'It is recommended to use Arnica hair oil for hair loss that may be caused due to any reason', 'Jaborandi helps in maintaining darker hair', 'Cantharis strengthens the hair and manages hair fall', 'Thuja induces hair growth in hair follicles and reduces scaly dandruff', 'China regulates blood circulation and acts as a stimulant', 'Calendula acts as an antiseptic for scalp infections and promotes hair growth', 'Arnica stimulates hair growth and clears dandruff', 'Should be used for routine massaging of the scalp', 'Massage gently with the tips of your finger all over the scalp at least once a day', 'Read the label carefully before use', 'Store in a cool and dry place, away from sunlight', 'Keep out of reach of children']"
Bakson's Throat Aid Tablet,Bakson's Homeopathy,4.5,422 Ratings,"['Mercurius iodatus ruber', 'Belladona', 'Kalium muriaticum', 'Baryta carbonica', 'Ferrum phosphoricum', 'Senega', 'Ammonium muriaticum', 'Throat Aid tablets provide relief in throat inflammation', 'This homoeopathic medicine for sore throat is effective for sore throat in the early stages and red, hot and swollen throat', 'Manages to swallow difficulty, laryngeal inflammation, and pharyngitis', 'Provides relief from the dryness of the throat, cough and cold, swallowing, dry suffocative cough, sneezing', 'Bakson Throat Aid tablets manage laryngitis and are useful in the treatment of hoarse and loss of voice', 'Provides relief from tickling cough, running nose, marked exhaustion, headache and fever', 'Adults: 1 tablet 4 times a day', 'Children: 1 tablet 2 times a day or as directed by the physician', 'Do not exceed the recommended dosage', 'Read the label carefully before use', 'Store in a cool dry place away from direct sunlight', 'Keep out of reach of children', 'Avoid any strong smell in the mouth such as coffee, onion, hing, mint, camphor, garlic etc. while taking the medicine', 'Keep at least half an hour gap between food/drink/ any other medicines and allopathic medicine']"
SBL Scalptone Tablet,SBL Pvt Ltd,4.3,306 Ratings,"['Acidum fluoricum 3x', 'Acidum phosphoricum 3x', 'Natrum muriaticum 3x', 'Calcarea phosphorica 3x', 'Badiaga 3x', 'Regular use helps manage and prevent hair falling', 'It reduces dandruff, irritation and redness of the scalp', 'This tablet helps manage itching of the scalp and eczema', 'Effective for managing baldness, thinning and splitting of hair', 'These tablets have no known contraindications', 'Take 4 tablets, 4 to 6 times a day for adults', 'Half of the adult’s dose for children or as prescribed by the physician', 'It is best avoided in pregnancy, lactation and children', 'Read the label carefully before use', 'Store in a cool and dry place, away from sunlight', 'Keep out of reach of children', ""Don't exceed the recommended dosage"", 'Use under medical supervision', 'Avoid any strong smell in the mouth, such as coffee, onion, hing, mint, camphor, garlic etc., while taking medicine', 'Avoid eating tobacco or drinking alcohol during the course']"
Bjain Avena Sativa Mother Tincture Q,Bjain Pharmaceuticals Pvt Ltd,4.4,52 Ratings,"['Avena Sativa', 'Has a soothing and calming effect on the nervous system', 'Effective remedy for anxiety and stress', 'It is useful in curing ill effects of alcoholism such as sleeplessness and tremor', 'It helps treat nervous exhaustion, insomnia, and weakness of the nerves', 'Also has aphrodisiac properties and helps in the treatment of sexual debility', 'A dietary nutritional supplement not for medicinal use', 'Read the label carefully before use', 'Do not exceed the recommended dose', 'Keep out of the reach of children', 'Store at a cool and dry place', 'Should be protected from direct sunlight']"
SBL Nux Vomica Dilution 30 CH,SBL Pvt Ltd,4.6,1878 Ratings,"['Helps improve mood swings and anger', 'Elevates mood, corrects irritable feelings and sulky mood', 'Soothes severe headaches after sun exposure or alcohol-related hangover', 'Corrects sensitivity issues in eyes and soothes irritation', 'Improves symptoms of cough, cold, and constant sneezing', 'Heals ulcers in the mouth accompanied by dryness', 'Alleviates tooth sensitivity after consuming cold food items', 'Read the label carefully before use', 'Do not exceed the recommended dose', 'Keep out of the reach of children', 'Store in a cool and dry place, away from direct sunlight and heat', 'Avoid any strong smell in the mouth, such as coffee, onion, hing, mint, camphor, garlic etc., while taking the medicine', 'Keep at least half an hour gap between food/drink/ any other medicines and allopathic medicine']"
SBL Clearstone Drop,SBL Pvt Ltd,4.5,766 Ratings,"['Berberis vulgaris Q, Sarsaparilla Q, Ocimum canum Q, Solidago virgaurea Q, Pareira brava Q, Senecio aureus Q', 'Provides relief from renal colic pain', 'Relieves nausea, vomiting and blood in the urine', 'Clears build up and dissolves stones in the bladder', 'Provides relief from acute and sudden pain in the back, lower abdomen and groin', 'Do not exceed the recommended dosage', 'Read the label carefully before use', 'Store in a cool, dry place away from direct sunlight', 'Keep out of reach of children']"
Bakson's Aller Aid Tablet,Bakson's Homeopathy,4.5,534 Ratings,"[""Bakson's Aller Aid Tablet helps relieve symptoms of allergies such as hay fever, hives, conjunctivitis and reactions to insect bites or stings"", 'Aller Aid Tablet is effective against the symptoms of respiratory disorders like shortness of breath, breathlessness or dyspnea', 'It promotes heart health and protects against the risk of cardiovascular disorders', 'This homoeopathic medicine for allergies contains Natrum muriaticum and Ferrum phosphoricum that help relieve sneezing, aching head, sore throat, pains and soreness all over the body and marked exhaustion.', 'Read the label carefully before use', 'Do not exceed the recommended dosage', 'Store in a cool and dry place', 'Keep away from the reach of children']"
Dr Batra's Homeo+ Immunity Medicine Oral Drops (30ml Each),Dr Batra Positive Health Products Limited,4.5,534 Ratings,"['Echinacea', 'Aconitum Nappelus', 'Sambucus Nigra', 'Baptisia Tinctoria', 'Thuja', 'Echinacea helps to increase white blood cells, which help in fighting infections and builds the immune system', 'Help fight bacterial and viral infections', 'Aconitum Nappelus helps those who become ill after a cold and cough', 'Helps to improve immunity and acts as an anti-septic', 'Thuja acts on the lymphatic\xa0 system and swollen glands', 'It is safe, scientific and long-lasting', 'Read the label carefully before use', 'Keep out of reach of the children', 'Store in a cool dry place']"
Dr. Reckeweg R13 Hemorrhoidal Drop,Dr Reckeweg & Co,4.4,560 Ratings,"['Acidum nitricum, Aesculus, Collinsonia canadensis, Hamamelis, Kalium carbonicum', 'Relieves stabbing pain in the intestines and dull ache in the sacral region', 'Provides relief from constriction during defecation with persistent pain', 'Useful for dryness and burning of hemorrhoidal mucosa', 'It helps manage hard stools, flatulence and constipation', '10-15 drops in some water three times daily', 'For acute pains, 10-15 drops 4-6 times a day', 'Do not exceed the recommended dosage', 'Read the label carefully before use', 'Store in a cool, dry place away from direct sunlight', 'Keep out of reach of children']"
Bakson's Aller Aid Tablet,Bakson's Homeopathy,4.5,534 Ratings,"[""Bakson's Aller Aid Tablet helps relieve symptoms of allergies such as hay fever, hives, conjunctivitis and reactions to insect bites or stings"", 'Aller Aid Tablet is effective against the symptoms of respiratory disorders like shortness of breath, breathlessness or dyspnea', 'It promotes heart health and protects against the risk of cardiovascular disorders', 'This homoeopathic medicine for allergies contains Natrum muriaticum and Ferrum phosphoricum that help relieve sneezing, aching head, sore throat, pains and soreness all over the body and marked exhaustion.', 'Read the label carefully before use', 'Do not exceed the recommended dosage', 'Store in a cool and dry place', 'Keep away from the reach of children']"
Bhargava Spondin Drop,Bhargava Phytolab,4.6,905 Ratings,"['Cuprum metallicium 6X, Ruta graveolens 3X, Dulcamera 3X, Conium maculatum 3X, Ledum palustre 2X, Hypericum perforatum 5X, Colocynthis vulgaris 3X', 'It improves stiffness and numbness from the nape of the neck to the arms', 'It helps relieve all kinds of pain associated with spondylitis', 'Deals with twitching, jerking and cramps of the muscles', 'Manages stiffness in the spine, neck and back', 'Do not exceed the recommended dosage', 'Read the label carefully before use', 'Store in a cool, dry place away from direct sunlight', 'Keep out of reach of children']"
Dynamic Homeopathy Dynamic 24 BPDYN Dilution,Dynamic Agencies,4.6,905 Ratings,"['Rauvolfia Serpentina', 'Glonoinum', 'Passiflora Incarnata', 'Terminalia Arjuna', 'Cactus Grandiflorus', 'Crategus Oxyacantha', 'Glonoinum helps surge blood to the head and the heart', 'It helps you in relieving anxiety and stress', 'Arjuna helps treat conditions where the blood supply to the heart is inaccurate', 'It acts on the muscular fibres of the heart and manages congestive headaches, constriction in the chest, acute stabbing pains in the heart and weak heart', 'It is highly effective for the treatment or prevention of cardiovascular conditions', 'Take 20 drops in the morning and 20 drops in the evening in ½ glass of water half an hour before meals or as directed by your physician', 'Read the product label carefully before use', 'Store in a cool and dry place away from direct sunlight', 'Keep out of reach of children', 'Consult a doctor before taking any supplement', 'Do not exceed the recommended dosage', 'Pregnant or nursing mothers, children, and people with medical conditions must consult a physician before taking this supplement']"
